word,idx
<PAD>,0
<BOS>,1
<EOS>,2
<UNK>,3
.,4
the,5
i,6
it,7
and,8
,,9
a,10
to,11
this,12
is,13
for,14
of,15
my,16
in,17
that,18
not,19
with,20
have,21
you,22
on,23
was,24
but,25
t,26
num_num,27
one,28
as,29
are,30
so,31
they,32
s,33
very,34
like,35
be,36
use,37
just,38
num_extend,39
had,40
all,41
can,42
these,43
if,44
at,45
would,46
great,47
or,48
out,49
good,50
!,51
when,52
will,53
them,54
up,55
well,56
from,57
no,58
get,59
product,60
has,61
more,62
me,63
bought,64
phone,65
about,66
than,67
your,68
time,69
an,70
do,71
really,72
we,73
only,74
after,75
much,76
used,77
there,78
other,79
don,80
also,81
too,82
what,83
even,84
work,85
ve,86
case,87
does,88
easy,89
because,90
works,91
some,92
better,93
off,94
first,95
am,96
any,97
got,98
little,99
now,100
made,101
did,102
game,103
buy,104
love,105
m,106
make,107
quality,108
price,109
were,110
two,111
been,112
using,113
over,114
still,115
by,116
which,117
back,118
then,119
years,120
nice,121
its,122
could,123
didn,124
way,125
small,126
never,127
put,128
coffee,129
how,130
fit,131
doesn,132
thing,133
size,134
purchased,135
tried,136
new,137
few,138
into,139
think,140
recommend,141
again,142
need,143
before,144
long,145
another,146
same,147
battery,148
go,149
clean,150
water,151
makes,152
right,153
many,154
amazon,155
perfect,156
old,157
best,158
lot,159
enough,160
reviews,161
last,162
plastic,163
set,164
while,165
$,166
without,167
money,168
should,169
most,170
want,171
look,172
problem,173
hard,174
know,175
something,176
day,177
looks,178
see,179
she,180
around,181
every,182
find,183
screen,184
their,185
however,186
pretty,187
looking,188
keep,189
our,190
he,191
try,192
iphone,193
down,194
say,195
different,196
since,197
fine,198
sure,199
item,200
thought,201
bad,202
take,203
easily,204
pan,205
far,206
came,207
months,208
big,209
cheap,210
found,211
times,212
bit,213
going,214
ordered,215
?,216
through,217
ever,218
worked,219
year,220
several,221
top,222
both,223
who,224
worth,225
ll,226
kitchen,227
though,228
food,229
seems,230
feel,231
anything,232
always,233
give,234
people,235
away,236
nothing,237
once,238
re,239
wanted,240
actually,241
:,242
large,243
charge,244
purchase,245
unit,246
fits,247
things,248
hair,249
less,250
hold,251
almost,252
products,253
getting,254
job,255
her,256
sound,257
charger,258
box,259
may,260
come,261
d,262
taste,263
handle,264
happy,265
hot,266
comes,267
perfectly,268
quite,269
being,270
light,271
store,272
knife,273
heavy,274
needed,275
those,276
everything,277
color,278
hand,279
received,280
buying,281
took,282
problems,283
read,284
days,285
ago,286
brand,287
high,288
maybe,289
why,290
here,291
minutes,292
second,293
making,294
where,295
said,296
machine,297
own,298
side,299
three,300
couple,301
probably,302
quickly,303
won,304
went,305
having,306
design,307
cover,308
wish,309
either,310
cup,311
gave,312
definitely,313
play,314
dog,315
review,316
each,317
might,318
sturdy,319
device,320
skin,321
cut,322
mine,323
longer,324
others,325
isn,326
ones,327
headset,328
part,329
piece,330
disappointed,331
working,332
expensive,333
broke,334
cooking,335
home,336
hours,337
car,338
until,339
place,340
bottom,341
order,342
least,343
started,344
pot,345
toy,346
able,347
week,348
yet,349
anyone,350
power,351
stuff,352
instead,353
stars,354
gets,355
extra,356
glass,357
lid,358
oil,359
must,360
let,361
end,362
seem,363
trying,364
next,365
decided,366
help,367
replacement,368
such,369
weeks,370
cable,371
return,372
under,373
real,374
fast,375
excellent,376
else,377
dry,378
life,379
his,380
original,381
wasn,382
replace,383
fun,384
left,385
cook,386
inside,387
exactly,388
looked,389
smaller,390
stick,391
half,392
gift,393
simple,394
expected,395
comfortable,396
ear,397
strong,398
couldn,399
arrived,400
full,401
month,402
done,403
takes,404
waste,405
finally,406
games,407
easier,408
black,409
smell,410
guess,411
bluetooth,412
already,413
wouldn,414
heat,415
knives,416
low,417
highly,418
stay,419
thin,420
model,421
together,422
ok,423
etc,424
oven,425
turn,426
cannot,427
whole,428
feels,429
wear,430
bread,431
short,432
bowl,433
fact,434
kind,435
pieces,436
weight,437
filter,438
air,439
bag,440
larger,441
wrong,442
maker,443
needs,444
usb,445
dishwasher,446
clear,447
difficult,448
press,449
open,450
tea,451
reason,452
sharp,453
wife,454
flavor,455
completely,456
steel,457
company,458
especially,459
plus,460
metal,461
white,462
husband,463
free,464
add,465
haven,466
batteries,467
protector,468
owned,469
cleaning,470
deal,471
iron,472
myself,473
idea,474
pay,475
itself,476
charging,477
expect,478
house,479
within,480
overall,481
loved,482
difference,483
cost,484
issues,485
fan,486
%,487
room,488
unfortunately,489
extremely,490
version,491
break,492
button,493
liked,494
issue,495
regular,496
pans,497
daughter,498
uses,499
apart,500
rubber,501
hands,502
items,503
believe,504
super,505
stainless,506
returned,507
rather,508
cord,509
type,510
save,511
holds,512
simply,513
shipping,514
pleased,515
bottle,516
tell,517
cups,518
star,519
remove,520
phones,521
soft,522
kids,523
goes,524
sometimes,525
protection,526
keeps,527
cases,528
space,529
cat,530
solid,531
blade,532
touch,533
often,534
amount,535
son,536
says,537
between,538
usually,539
loves,540
picture,541
thick,542
run,543
line,544
someone,545
change,546
instructions,547
camera,548
poor,549
absolutely,550
durable,551
point,552
wash,553
cream,554
christmas,555
care,556
us,557
start,558
experience,559
cool,560
red,561
stand,562
pair,563
music,564
reading,565
past,566
results,567
felt,568
counter,569
stopped,570
call,571
saw,572
tight,573
service,574
seemed,575
him,576
later,577
four,578
glad,579
noise,580
family,581
control,582
face,583
nicely,584
paid,585
quick,586
head,587
cutting,588
cheaper,589
ended,590
huge,591
although,592
material,593
supposed,594
seen,595
sent,596
package,597
wonderful,598
vacuum,599
headphones,600
unless,601
close,602
noticed,603
doing,604
broken,605
cats,606
grinder,607
leave,608
system,609
yes,610
night,611
hear,612
popcorn,613
samsung,614
based,615
ice,616
kept,617
lasted,618
eat,619
worst,620
support,621
volume,622
graphics,623
friend,624
mixer,625
cake,626
brush,627
paper,628
baking,629
colors,630
turned,631
shape,632
twice,633
microwave,634
plug,635
blue,636
dogs,637
front,638
tool,639
during,640
lost,641
favorite,642
meat,643
pressure,644
replaced,645
decent,646
designed,647
due,648
playing,649
played,650
hope,651
buttons,652
handy,653
recommended,654
level,655
finish,656
dropped,657
area,658
cast,659
taking,660
useful,661
person,662
fall,663
given,664
move,665
everyone,666
similar,667
immediately,668
parts,669
fresh,670
smooth,671
card,672
slightly,673
loud,674
feet,675
soon,676
grill,677
single,678
five,679
oxo,680
flat,681
apple,682
grip,683
seller,684
butter,685
outside,686
flimsy,687
daily,688
awesome,689
pack,690
enjoy,691
spend,692
pocket,693
today,694
thinking,695
worse,696
loose,697
stuck,698
terrible,699
cheese,700
course,701
lots,702
prefer,703
live,704
dont,705
edge,706
feature,707
computer,708
otterbox,709
value,710
properly,711
reviewers,712
protect,713
handles,714
cute,715
putting,716
along,717
eggs,718
grind,719
ingredients,720
style,721
surprised,722
drink,723
beautiful,724
charged,725
built,726
rice,727
customer,728
dough,729
cell,730
recently,731
matter,732
board,733
normal,734
base,735
storage,736
safe,737
running,738
bigger,739
sizes,740
available,741
hoping,742
fairly,743
purchasing,744
measuring,745
morning,746
galaxy,747
sugar,748
compared,749
juice,750
cookies,751
bags,752
barely,753
anyway,754
watch,755
hour,756
excited,757
rack,758
horrible,759
friends,760
filters,761
devices,762
pain,763
standard,764
pizza,765
update,766
cooker,767
useless,768
number,769
otherwise,770
included,771
older,772
wait,773
amazing,774
impressed,775
online,776
entire,777
protectors,778
true,779
surface,780
rest,781
sides,782
careful,783
beat,784
dust,785
tiny,786
mind,787
means,788
hate,789
stove,790
stop,791
motorola,792
gone,793
chocolate,794
charges,795
switch,796
seconds,797
tastes,798
called,799
advertised,800
mess,801
trouble,802
gives,803
stays,804
setting,805
nearly,806
chicken,807
clip,808
name,809
warm,810
except,811
totally,812
okay,813
drop,814
added,815
opened,816
voice,817
body,818
none,819
test,820
fell,821
previous,822
mix,823
held,824
milk,825
bulky,826
packaging,827
junk,828
spray,829
annoying,830
wall,831
helps,832
yourself,833
bowls,834
aren,835
cuisinart,836
local,837
range,838
cold,839
ball,840
send,841
droid,842
install,843
throw,844
holding,845
note,846
basically,847
anymore,848
coming,849
inexpensive,850
market,851
floor,852
description,853
ipod,854
holder,855
features,856
addition,857
opinion,858
wide,859
green,860
dark,861
belt,862
understand,863
controls,864
blender,865
container,866
mount,867
directions,868
lids,869
notice,870
pull,871
edges,872
remember,873
positive,874
kitchenaid,875
perhaps,876
pick,877
shoes,878
certainly,879
spent,880
please,881
told,882
choice,883
ordering,884
sounds,885
player,886
blades,887
check,888
bar,889
skillet,890
garlic,891
near,892
medium,893
higher,894
video,895
purpose,896
sweet,897
cooked,898
ipad,899
wood,900
slow,901
texture,902
dish,903
dishes,904
evenly,905
calls,906
carry,907
giving,908
brands,909
covers,910
turns,911
hit,912
pasta,913
ready,914
bucks,915
soap,916
china,917
beans,918
main,919
bubbles,920
plan,921
returning,922
rating,923
ground,924
against,925
carpet,926
onto,927
jars,928
show,929
mean,930
htc,931
bake,932
multiple,933
smells,934
refund,935
opener,936
expecting,937
temperature,938
impossible,939
deep,940
table,941
heard,942
natural,943
figured,944
opening,945
fill,946
push,947
died,948
wet,949
constantly,950
luck,951
eventually,952
changed,953
sets,954
third,955
cause,956
french,957
stores,958
adapter,959
gotten,960
toys,961
sink,962
per,963
complaints,964
happened,965
straight,966
cooks,967
connection,968
installed,969
wireless,970
pop,971
process,972
mostly,973
trash,974
toaster,975
avoid,976
forward,977
inch,978
sized,979
processor,980
wearing,981
option,982
sorry,983
cleans,984
forever,985
awful,986
allows,987
bright,988
fantastic,989
holes,990
seal,991
fully,992
threw,993
sold,994
cleaner,995
whatever,996
protects,997
electric,998
soup,999
six,1000
steam,1001
knew,1002
length,1003
negative,1004
convenient,1005
likes,1006
kit,1007
slide,1008
leaves,1009
series,1010
damage,1011
warranty,1012
port,1013
plugged,1014
complaint,1015
imagine,1016
bra,1017
complete,1018
everyday,1019
keeping,1020
pour,1021
silicone,1022
faster,1023
satisfied,1024
dead,1025
liquid,1026
door,1027
mentioned,1028
travel,1029
construction,1030
figure,1031
brown,1032
fruit,1033
poorly,1034
glasses,1035
tools,1036
bother,1037
cakes,1038
ring,1039
appears,1040
ease,1041
cookie,1042
important,1043
ears,1044
tip,1045
apply,1046
lens,1047
fix,1048
hole,1049
weak,1050
result,1051
wire,1052
above,1053
double,1054
oh,1055
drive,1056
recipe,1057
suction,1058
jar,1059
lower,1060
uncomfortable,1061
feeling,1062
possible,1063
potatoes,1064
described,1065
espresso,1066
speaker,1067
total,1068
cables,1069
performance,1070
snap,1071
pictures,1072
sticks,1073
function,1074
pitcher,1075
suggest,1076
headsets,1077
actual,1078
solution,1079
pots,1080
speed,1081
attractive,1082
chance,1083
lose,1084
foods,1085
timer,1086
particular,1087
across,1088
scoop,1089
removed,1090
motor,1091
signal,1092
round,1093
boring,1094
dollars,1095
shipped,1096
future,1097
become,1098
sony,1099
cookware,1100
pc,1101
basic,1102
special,1103
sale,1104
blackberry,1105
corn,1106
lasts,1107
failed,1108
story,1109
considering,1110
popper,1111
drawer,1112
forget,1113
audio,1114
provides,1115
plenty,1116
consider,1117
condition,1118
somewhat,1119
washed,1120
sit,1121
litter,1122
priced,1123
baby,1124
sort,1125
mouth,1126
sticky,1127
worry,1128
vegetables,1129
scratches,1130
world,1131
duty,1132
fat,1133
sitting,1134
research,1135
minute,1136
office,1137
veggies,1138
rate,1139
tasted,1140
pink,1141
saying,1142
scratch,1143
eye,1144
manual,1145
dirt,1146
powerful,1147
mouse,1148
foot,1149
evo,1150
behind,1151
cracked,1152
radio,1153
oem,1154
egg,1155
chargers,1156
stock,1157
truly,1158
plain,1159
batch,1160
accurate,1161
washing,1162
aluminum,1163
mode,1164
shows,1165
router,1166
garbage,1167
manufacturer,1168
exact,1169
fingers,1170
provide,1171
major,1172
lightweight,1173
match,1174
shoe,1175
cuts,1176
