word,idx
<PAD>,0
<BOS>,1
<EOS>,2
<UNK>,3
a,4
.,5
the,6
in,7
to,8
on,9
is,10
and,11
dog,12
of,13
with,14
,,15
man,16
his,17
two,18
for,19
are,20
boy,21
at,22
woman,23
girl,24
people,25
water,26
black,27
white,28
playing,29
an,30
dogs,31
young,32
wearing,33
their,34
running,35
her,36
through,37
brown,38
while,39
down,40
red,41
ball,42
like,43
looking,44
little,45
grass,46
over,47
snow,48
standing,49
by,50
blue,51
three,52
child,53
as,54
jumping,55
person,56
children,57
from,58
up,59
love,60
sitting,61
into,62
field,63
it,64
group,65
beach,66
jumps,67
small,68
he,69
men,70
large,71
runs,72
enjoying,73
off,74
walking,75
shirt,76
holding,77
play,78
one,79
air,80
near,81
lover,82
girls,83
other,84
out,85
trying,86
green,87
yellow,88
riding,89
's,90
street,91
front,92
outside,93
its,94
life,95
win,96
mouth,97
bike,98
rock,99
waiting,100
catch,101
after,102
they,103
each,104
another,105
stands,106
game,107
that,108
some,109
women,110
around,111
toy,112
together,113
boys,114
player,115
race,116
get,117
about,118
pool,119
looks,120
high,121
mountain,122
next,123
towards,124
him,125
soccer,126
day,127
being,128
camera,129
across,130
park,131
face,132
stick,133
stand,134
smiling,135
crowd,136
plays,137
dirt,138
orange,139
four,140
be,141
sits,142
reach,143
along,144
swimming,145
has,146
climbing,147
ready,148
who,149
owner,150
show,151
impress,152
walks,153
jump,154
trick,155
hill,156
football,157
pink,158
baby,159
doing,160
ocean,161
skateboard,162
picture,163
wall,164
sand,165
car,166
behind,167
back,168
watching,169
happily,170
jacket,171
rides,172
bicycle,173
snowy,174
hat,175
tree,176
top,177
building,178
find,179
run,180
hoping,181
swing,182
head,183
ride,184
holds,185
grassy,186
tennis,187
kids,188
tan,189
walk,190
wave,191
carrying,192
go,193
dressed,194
beautiful,195
time,196
road,197
before,198
friends,199
toward,200
bones,201
loving,202
taking,203
big,204
sidewalk,205
frisbee,206
does,207
basketball,208
them,209
pose,210
hair,211
ramp,212
she,213
attempting,214
look,215
meet,216
racing,217
sit,218
lake,219
skateboarder,220
chasing,221
fish,222
full,223
bench,224
several,225
slide,226
fun,227
players,228
long,229
all,230
line,231
ground,232
boat,233
something,234
master,235
fighting,236
making,237
joy,238
posing,239
track,240
search,241
away,242
searching,243
going,244
couple,245
feeling,246
baseball,247
path,248
horse,249
fly,250
under,251
motorcycle,252
finish,253
enjoy,254
very,255
having,256
showing,257
area,258
dress,259
fence,260
playfully,261
thinking,262
this,263
take,264
watch,265
background,266
covered,267
family,268
watches,269
city,270
ice,271
see,272
not,273
during,274
getting,275
space,276
make,277
arms,278
home,279
rocks,280
bird,281
flying,282
have,283
leaps,284
new,285
cliff,286
talking,287
wet,288
happy,289
side,290
snowboarder,291
there,292
shorts,293
yard,294
guy,295
best,296
helmet,297
first,298
woods,299
old,300
night,301
friend,302
biker,303
midair,304
no,305
rope,306
onto,307
takes,308
lady,309
because,310
do,311
can,312
sunglasses,313
pokemon,314
fight,315
purple,316
many,317
kid,318
team,319
against,320
will,321
sky,322
trees,323
above,324
how,325
sign,326
climbs,327
fountain,328
but,329
hand,330
rocky,331
dancing,332
gets,333
dreaming,334
way,335
table,336
just,337
colorful,338
wooden,339
food,340
blonde,341
someone,342
fear,343
forest,344
rider,345
performing,346
skier,347
pants,348
house,349
uniform,350
mountains,351
river,352
speed,353
determined,354
asian,355
n't,356
eating,357
outdoors,358
enjoys,359
splashing,360
others,361
smiles,362
mother,363
was,364
summer,365
dream,366
hands,367
poses,368
excited,369
playground,370
lovers,371
laughing,372
sun,373
dark,374
catching,375
shore,376
striped,377
five,378
bed,379
supremacy,380
moment,381
experience,382
girlfriend,383
past,384
competition,385
older,386
open,387
coat,388
pole,389
olympic,390
catches,391
grey,392
what,393
blond,394
conquer,395
glasses,396
living,397
steps,398
obstacle,399
winning,400
cat,401
hockey,402
waves,403
surfer,404
inside,405
pretending,406
cool,407
carries,408
flowers,409
nature,410
course,411
toddler,412
suit,413
celebrating,414
sunny,415
outer,416
adventure,417
loves,418
view,419
drink,420
fall,421
smile,422
dance,423
hold,424
great,425
gold,426
save,427
train,428
leaves,429
proud,430
dreams,431
photo,432
beside,433
window,434
shows,435
laying,436
bridge,437
hanging,438
arm,439
beauty,440
makes,441
world,442
falling,443
colored,444
hot,445
swinging,446
favorite,447
bone,448
cap,449
performs,450
drinking,451
surrounded,452
so,453
fast,454
leaping,455
party,456
mud,457
too,458
costume,459
swings,460
chair,461
date,462
guitar,463
lawn,464
edge,465
without,466
trail,467
courage,468
climber,469
fishing,470
climb,471
if,472
lost,473
goal,474
tricks,475
chases,476
flies,477
winter,478
avoid,479
adults,480
sunset,481
parents,482
tall,483
peacefully,484
collar,485
both,486
school,487
fire,488
male,489
shallow,490
eat,491
skating,492
bag,493
room,494
outfit,495
stream,496
german,497
sled,498
eyes,499
surfboard,500
horses,501
become,502
nice,503
between,504
bright,505
celebrate,506
body,507
legs,508
try,509
turn,510
santa,511
where,512
friendship,513
hats,514
overlooking,515
puppy,516
clothes,517
alone,518
swim,519
set,520
wait,521
event,522
outdoor,523
tries,524
sliding,525
throwing,526
skateboarding,527
excitedly,528
tire,529
brick,530
clothing,531
stunt,532
book,533
lovingly,534
waterfall,535
busy,536
bubbles,537
female,538
bikes,539
floor,540
couch,541
swims,542
trampoline,543
pictures,544
magic,545
lot,546
music,547
board,548
surfing,549
light,550
puddle,551
leash,552
chase,553
happiness,554
wears,555
parade,556
throw,557
adult,558
hit,559
flight,560
land,561
muddy,562
shepherd,563
animal,564
hopes,565
middle,566
candy,567
reading,568
skiing,569
childhood,570
truck,571
himself,572
upside,573
lover.,574
huge,575
match,576
teenage,577
talk,578
biting,579
golden,580
feet,581
falls,582
uniforms,583
backpack,584
preparing,585
mermaids,586
glory,587
thrill,588
wife,589
plastic,590
ring,591
giving,592
store,593
shirts,594
singing,595
slope,596
piece,597
slides,598
goes,599
bar,600
ski,601
silly,602
funny,603
work,604
dinner,605
snowboard,606
when,607
raft,608
metal,609
give,610
waits,611
object,612
splashes,613
mom,614
paper,615
hurdle,616
flag,617
kick,618
short,619
waving,620
late,621
tongue,622
bmx,623
victory,624
father,625
canoe,626
rail,627
greyhound,628
blowing,629
cold,630
shoes,631
right,632
driving,633
concrete,634
stairs,635
gear,636
dock,637
bags,638
thinks,639
vest,640
elderly,641
cars,642
dry,643
made,644
come,645
throws,646
guys,647
impressing,648
pond,649
restaurant,650
log,651
american,652
day.,653
bat,654
treasure,655
cross,656
nose,657
distance,658
wondering,659
sandy,660
good,661
pushing,662
feel,663
number,664
tunnel,665
practicing,666
carefully,667
leg,668
wetsuit,669
pile,670
cigarette,671
jersey,672
shirtless,673
faces,674
which,675
last,676
pulling,677
puppies,678
lying,679
treat,680
deep,681
volleyball,682
staring,683
wooded,684
wrestling,685
surf,686
place,687
filled,688
bathing,689
lizard,690
sprinkler,691
quickly,692
excitement,693
wonderful,694
gray,695
perform,696
flags,697
airborne,698
wedding,699
shopping,700
jeans,701
skate,702
sports,703
fetch,704
escape,705
leaning,706
skills,707
!.,708
clown,709
dirty,710
monkey,711
stone,712
drunk,713
sharing,714
overcome,715
pretty,716
skis,717
break,718
audience,719
poles,720
lows,721
hits,722
stop,723
reaching,724
warm,725
paint,726
wishing,727
dresses,728
shaking,729
joyfully,730
money,731
water.,732
listening,733
end,734
haired,735
seeing,736
costumes,737
diving,738
i,739
umbrella,740
freedom,741
flip,742
spectators,743
only,744
bus,745
nearby,746
gather,747
pushes,748
dances,749
ugly,750
keep,751
training,752
future,753
vehicle,754
races,755
structure,756
professional,757
band,758
herself,759
left,760
teams,761
fallen,762
cellphone,763
below,764
flower,765
bottom,766
proudly,767
attract,768
got,769
start,770
hugging,771
landing,772
moon,773
bull,774
court,775
thrown,776
hiker,777
these,778
contemplating,779
toys,780
want,781
railing,782
kiss,783
greyhounds,784
animals,785
steep,786
using,787
rugby,788
mohawk,789
snowboarding,790
olympics,791
point,792
different,793
tent,794
moving,795
giant,796
or,797
heads,798
sleeping,799
kicking,800
help,801
kissing,802
true,803
gift,804
signs,805
boyfriend,806
perfect,807
setting,808
skirt,809
caught,810
parking,811
underwater,812
turned,813
same,814
bride,815
bicycles,816
owners,817
police,818
birds,819
smiley,820
lovely,821
cement,822
destiny,823
hard,824
racer,825
close,826
onlookers,827
kayak,828
missing,829
coming,830
balls,831
motorcyclist,832
christmas,833
prepares,834
morning,835
six,836
boots,837
cyclist,838
talent,839
hiding,840
cream,841
phone,842
wants,843
attempt,844
town,845
cute,846
share,847
together.,848
painting,849
smoking,850
stage,851
chairs,852
traffic,853
net,854
stuffed,855
you,856
inflatable,857
score,858
could,859
garden,860
gives,861
desert,862
drinks,863
slowly,864
aliens,865
cheese,866
express,867
fishes,868
bucket,869
fell,870
broken,871
bring,872
laugh,873
hangs,874
competing,875
sticks,876
swimsuit,877
playful,878
scooter,879
romantic,880
bottle,881
wrestler,882
than,883
ledge,884
roller,885
learning,886
blanket,887
finding,888
local,889
teeth,890
rough,891
reaches,892
few,893
reads,894
peace,895
wrestle,896
ladies,897
never,898
shakes,899
amusement,900
splash,901
hole,902
wear,903
``,904
farting,905
stupidly,906
dating,907
bath,908
talks,909
record,910
prove,911
awaiting,912
kite,913
brother,914
sees,915
crowded,916
carpet,917
lone,918
hay,919
outfits,920
eats,921
care,922
wanting,923
clean,924
pavement,925
scarf,926
skiers,927
kicks,928
class,929
smaller,930
loved,931
painted,932
microphone,933
laughs,934
rest,935
graffiti,936
skateboards,937
branch,938
scene,939
beard,940
sea,941
subway,942
were,943
rain,944
gun,945
pointing,946
escaping,947
resting,948
gym,949
barefoot,950
free,951
attention,952
own,953
taken,954
art,955
ears,956
smoke,957
driver,958
highs,959
softball,960
platform,961
low,962
crossing,963
goggles,964
teenagers,965
gathered,966
much,967
naked,968
glass,969
helmets,970
hang,971
cart,972
harness,973
fluffy,974
equipment,975
memory,976
ropes,977
speeding,978
mask,979
barking,980
vacation,981
ahead,982
eye,983
bald,984
t-shirt,985
frozen,986
leads,987
closeup,988
shot,989
among,990
touch,991
duck,992
coffee,993
lives,994
tank,995
breaking,996
obstacles,997
working,998
bicyclist,999
crash,1000
movie,1001
rolls,1002
clear,1003
themselves,1004
hug,1005
lined,1006
downhill,1007
sheep,1008
experiencing,1009
backyard,1010
cricket,1011
kitchen,1012
public,1013
better,1014
landscape,1015
indoors,1016
prize,1017
round,1018
snow-covered,1019
practice,1020
trip,1021
pizza,1022
held,1023
foot,1024
chewing,1025
hiking,1026
sweatshirt,1027
sister,1028
hitting,1029
hoop,1030
raises,1031
bigfoot,1032
runner,1033
poodle,1034
life.,1035
bikers,1036
seat,1037
ball.,1038
jackets,1039
wheel,1040
suits,1041
muzzled,1042
cake,1043
wheelchair,1044
rabbit,1045
gravel,1046
had,1047
birthday,1048
pass,1049
ca,1050
pull,1051
urban,1052
carnival,1053
shadow,1054
move,1055
starting,1056
master.,1057
neck,1058
cheering,1059
accomplishment,1060
instruments,1061
bubble,1062
younger,1063
put,1064
bite,1065
wire,1066
spotted,1067
love.,1068
learn,1069
statue,1070
display,1071
tube,1072
far,1073
height,1074
drives,1075
more,1076
well,1077
cone,1078
tug,1079
war,1080
attempts,1081
rural,1082
frog,1083
sweater,1084
time.,1085
formation,1086
elephant,1087
pipe,1088
hide,1089
surfs,1090
invisible,1091
paddling,1092
cow,1093
headphones,1094
outstretched,1095
cup,1096
really,1097
stares,1098
jungle,1099
tiger,1100
retriever,1101
girlfriend.,1102
squirrel,1103
superman,1104
rush,1105
racetrack,1106
festival,1107
wins,1108
indoor,1109
market,1110
float,1111
rockstar,1112
him.,1113
brave,1114
heart,1115
prepare,1116
blows,1117
whilst,1118
icy,1119
corner,1120
third,1121
bear,1122
song,1123
balloon,1124
pro,1125
support,1126
joys,1127
base,1128
strikes,1129
